ID	Safety Goal (SG) ID	Functional Safety Requirement (FSR)	Description	ASIL	Validation Method Example
FSR-001	SG-001	Prevent Uncommanded Steering Torque Generation	The EPS system shall monitor its internal states (e.g., sensor inputs, motor current, control outputs) and prevent the generation of steering torque when no assist is commanded by the driver or ADAS/AD function, or when such torque would lead to unintended vehicle movement.	ASIL D	Software unit testing for torque control algorithms, HIL testing with fault injection (e.g., corrupted sensor data), vehicle-level testing of unintended steering inputs.
FSR-002	SG-001	Detect and Mitigate Unintended Steering Torque	The EPS system shall detect unintended steering torque generation within a specified fault detection time interval and immediately mitigate it by reducing or disabling motor current to zero, or transitioning to a safe state.	ASIL D	Fault injection testing (e.g., short circuit in motor control, sensor failure causing false torque request), measurement of fault detection time, verification of safe state entry.
FSR-003	SG-002	Ensure Availability of Manual Steerability	The EPS system shall be designed such that, in the event of a total loss of power assistance, the driver can still manually steer the vehicle, even if with increased effort, without mechanical locking or excessive friction.	ASIL D	Mechanical design review, friction torque measurement in powered-off state, vehicle-level subjective evaluation by test drivers under various speed conditions.
FSR-004	SG-002	Detect and Mitigate Loss of Steering Assist	The EPS system shall detect loss of steering assist functionality (e.g., due to power failure, motor failure, control unit failure) within a specified fault detection time and activate a warning to the driver.	ASIL D	Power supply interruption testing, motor open/short circuit fault injection, control unit self-diagnosis error injection, measurement of fault detection time.
FSR-005	SG-003	Prevent Oscillatory or Erratic Steering Response	The EPS control algorithms shall be designed to prevent and suppress oscillations, instability, or erratic changes in steering assist that could lead to loss of vehicle control or driver discomfort.	ASIL D	Closed-loop control system analysis (stability margins), HIL testing with varying road conditions and driver inputs, vehicle-level subjective evaluation.
FSR-006	SG-003	Detect and Mitigate Oscillatory Behavior	The EPS system shall detect abnormal oscillatory or unstable behavior within a specified fault detection time and transition to a safe state, which may involve reducing assist or disabling the system.	ASIL D	Fault injection (e.g., sensor noise, corrupted feedback), monitoring of steering torque and angle derivatives, verification of safe state transition.
FSR-007	SG-004	Activate Driver Warning for EPS Malfunctions	The EPS system shall activate a visual and/or audible warning to the driver within a specified time upon detection of any safety-critical malfunction that affects the EPS performance or safety goals.	ASIL B(C)	Fault injection at component and system level, verification of warning lamp illumination and/or audible alert activation time.
FSR-008	SG-005	Prevent Mechanical Obstruction of Steering	The EPS mechanical and electrical design shall prevent any internal fault (e.g., motor seizure, gear binding, component detachment) from causing a mechanical obstruction, jamming, or locking of the steering mechanism.	ASIL D	Mechanical design review, failure mode and effects analysis (FMEA) on mechanical components, stress testing.
FSR-009	SG-006	Provide Graceful Degradation in Fault Scenarios	In the event of a non-critical fault or partial failure, the EPS system shall transition to a predefined degraded mode of operation that maintains basic steerability while informing the driver of reduced functionality.	ASIL C(D)	Fault injection of non-critical component failures, vehicle-level subjective evaluation of steering feel in degraded modes.
FSR-010	SG-007	Implement Secure Communication and Software Execution	The EPS control unit shall implement secure communication protocols (e.g., authenticated messages) and robust software execution mechanisms (e.g., memory protection, secure boot) to prevent unauthorized control or manipulation of the steering function.	ASIL D	Penetration testing, Fuzz testing on communication interfaces, secure boot verification, static code analysis for vulnerabilities.
